Artist,卡名,稀有度,期望文件名,备注
"HA-4","【至最爱以喝彩】MYU",R,HA-4.png,请将图片放入 public/images/ 文件夹
"exA-6","【协奏之末】V.I.P",R,exA-6.png,请将图片放入 public/images/ 文件夹
"exA-8","【改变】御莉姫",R,exA-8.png,请将图片放入 public/images/ 文件夹
"exA-9","【改变】佳鏡院",R,exA-9.png,请将图片放入 public/images/ 文件夹
"exA-10","【改变】硝子宮",R,exA-10.png,请将图片放入 public/images/ 文件夹
"exA-11","【改变】氷夏至",R,exA-11.png,请将图片放入 public/images/ 文件夹
"exA-12","【改变】美古途",R,exA-12.png,请将图片放入 public/images/ 文件夹
"exA-13","【改变】夕凪機",R,exA-13.png,请将图片放入 public/images/ 文件夹
"exA-14","【神椿市建设中。】化歩",N+,exA-14.png,请将图片放入 public/images/ 文件夹
"exA-15","【神椿市建设中。】狸眼&此処",N+,exA-15.png,请将图片放入 public/images/ 文件夹
"exA-16","【神椿市建设中。】派流&世界",N+,exA-16.png,请将图片放入 public/images/ 文件夹
"exA-17","【KGC2025】V.W.P",SR,exA-17.png,请将图片放入 public/images/ 文件夹
"exA-18","【Virtual Ties】ヰ世界情緒（星海）",,exA-18.png,请将图片放入 public/images/ 文件夹
"exA-19","【Virtual Ties】ヰ世界情緒（星海）[SR]",,exA-19.png,请将图片放入 public/images/ 文件夹
"exA-21","【反転運命】V.W.P",,exA-21.png,请将图片放入 public/images/ 文件夹
"exA-22","【宿声/深愛】花譜",,exA-22.png,请将图片放入 public/images/ 文件夹
"exA-23","【Me & Me】花譜",,exA-23.png,请将图片放入 public/images/ 文件夹
"exA-24","【ぼくらの現在地】花譜",,exA-24.png,请将图片放入 public/images/ 文件夹
"exA-25","【理芽展】理芽",,exA-25.png,请将图片放入 public/images/ 文件夹
"prmA-1","【若逢相顾】可不",N,prmA-1.png,请将图片放入 public/images/ 文件夹
"prmA-2","【超常现象】VITTE",N,prmA-2.png,请将图片放入 public/images/ 文件夹
"prmA-3","【fever time】氷夏至",,prmA-3.png,请将图片放入 public/images/ 文件夹
"prmA-4","【想像を超えていけ】幸祜",,prmA-4.png,请将图片放入 public/images/ 文件夹
"DS-19","【终有抵达之日】致持续描绘的你",N,DS-19.png,请将图片放入 public/images/ 文件夹
"exS-1","【奇迹满溢不止】纯情étoile",N,exS-1.png,请将图片放入 public/images/ 文件夹
"exS-2","【渴望夺去】闪光Fragment",N,exS-2.png,请将图片放入 public/images/ 文件夹
"exS-3","【视界变得明朗】共振HeartBeat",N,exS-3.png,请将图片放入 public/images/ 文件夹
"prmS-1","【没关系】台风之子",N,prmS-1.png,请将图片放入 public/images/ 文件夹
"prmS-3","【向着你不在的夏天】雏鸟",,prmS-3.png,请将图片放入 public/images/ 文件夹
"exM-4","XPERIENCE-1",N,exM-4.png,请将图片放入 public/images/ 文件夹
"exM-5","XPERIENCE-2",N,exM-5.png,请将图片放入 public/images/ 文件夹
"exM-6","MerryChristmas♪ 美鼓途",N,exM-6.png,请将图片放入 public/images/ 文件夹
"prmM-1","新世界的能量",N,prmM-1.png,请将图片放入 public/images/ 文件夹
"exD-3","思绪的形状",N,exD-3.png,请将图片放入 public/images/ 文件夹
